1	1	10.528	0.001
1	2	0.559	0.455
1	3	0.020	0.886
1	4	0.969	0.325
1	5	0.674	0.412
1	6	0.373	0.541
1	7	1.011	0.315
1	8	1.023	0.312
1	9	1.366	0.243
1	10	0.467	0.495
1	11	4.042	0.044
1	12	0.132	0.716
1	13	0.036	0.850
1	14	0.094	0.759
1	15	1.174	0.279
1	16	0.001	0.971
1	17	0.000	0.998
1	18	0.258	0.611
1	19	3.964	0.046
1	20	0.644	0.422
1	21	0.048	0.827
1	22	4.269	0.039
1	23	0.055	0.815
1	24	0.309	0.579
1	25	3.648	0.056
1	26	1.902	0.168
1	27	0.422	0.516
1	28	3.517	0.061
1	29	0.004	0.947
1	30	1.372	0.241
1	31	0.000	0.983
1	32	0.377	0.539
1	33	1.162	0.281
1	34	0.000	0.991
1	35	0.378	0.539
1	36	0.226	0.635
1	37	0.221	0.638
1	38	0.920	0.337
1	39	1.533	0.216
1	40	0.021	0.886
1	41	0.012	0.913
1	42	0.559	0.455
1	43	0.516	0.472
1	44	0.756	0.385
1	45	0.383	0.536
1	46	1.972	0.160
1	47	0.002	0.966
1	48	1.068	0.301
1	49	0.030	0.863
1	50	3.037	0.081
1	51	1.111	0.292
1	52	0.017	0.895
1	53	1.725	0.189
1	54	5.893	0.015
1	55	0.229	0.632
1	56	0.063	0.802
1	57	0.316	0.574
1	58	0.875	0.350
1	59	0.078	0.780
1	60	4.027	0.045
1	61	0.055	0.815
1	62	0.058	0.810
1	63	2.393	0.122
1	64	3.495	0.062
1	65	0.009	0.926
1	66	2.350	0.125
1	67	0.247	0.619
1	68	3.399	0.065
1	69	0.010	0.919
1	70	0.009	0.923
1	71	0.006	0.940
1	72	0.066	0.797
1	73	1.639	0.200
1	74	3.017	0.082
1	75	0.031	0.861
1	76	1.901	0.168
1	77	0.860	0.354
1	78	0.047	0.828
1	79	2.252	0.133
1	80	0.535	0.465
1	81	0.008	0.928
1	82	3.933	0.047
1	83	0.060	0.807
1	84	0.004	0.947
1	85	1.723	0.189
1	86	1.971	0.160
1	87	1.473	0.225
1	88	0.074	0.785
1	89	0.415	0.520
1	90	2.558	0.110
1	91	0.203	0.652
1	92	0.167	0.682
1	93	0.541	0.462
1	94	0.717	0.397
1	95	0.545	0.461
1	96	0.264	0.607
1	97	0.015	0.902
1	98	0.248	0.618
1	99	1.664	0.197
1	100	0.217	0.642
